Date,Equity
2017-03-03,171848.44769000766
2017-03-06,175285.4166438078
2017-03-07,178791.12497668396
2017-03-08,178791.12497668396
2017-03-09,178791.12497668396
2017-03-10,178791.12497668396
2017-03-13,178791.12497668396
2017-03-14,178791.12497668396
2017-03-15,182366.94747621764
2017-03-16,182366.94747621764
2017-03-17,182366.94747621764
2017-03-20,186014.286425742
2017-03-21,189734.57215425684
2017-03-22,189734.57215425684
2017-03-23,189734.57215425684
2017-03-24,189734.57215425684
2017-03-27,189734.57215425684
2017-03-28,193529.26359734198
2017-03-29,193529.26359734198
2017-03-30,193529.26359734198
2017-03-31,193529.26359734198
2017-04-03,193529.26359734198
2017-04-04,193529.26359734198
2017-04-05,193529.26359734198
2017-04-06,193529.26359734198
2017-04-07,193529.26359734198
2017-04-10,193529.26359734198
2017-04-11,193529.26359734198
2017-04-12,193529.26359734198
2017-04-13,193529.26359734198
2017-04-17,193529.26359734198
2017-04-18,193529.26359734198
2017-04-19,193529.26359734198
2017-04-20,193529.26359734198
2017-04-21,193529.26359734198
2017-04-24,193529.26359734198
2017-04-25,193529.26359734198
2017-04-26,193529.26359734198
2017-04-27,193529.26359734198
2017-04-28,193529.26359734198
2017-05-01,193529.26359734198
2017-05-02,193529.26359734198
2017-05-03,193529.26359734198
2017-05-04,193529.26359734198
2017-05-05,197399.8488692888
2017-05-08,197399.8488692888
2017-05-09,197399.8488692888
2017-05-10,197399.8488692888
2017-05-11,197399.8488692888
2017-05-12,197399.8488692888
2017-05-15,197399.8488692888
2017-05-16,197399.8488692888
2017-05-17,197399.8488692888
2017-05-18,197399.8488692888
2017-05-19,197399.8488692888
2017-05-22,197399.8488692888
2017-05-23,197399.8488692888
2017-05-24,197399.8488692888
2017-05-25,197399.8488692888
2017-05-26,197399.8488692888
2017-05-30,197399.8488692888
2017-05-31,197399.8488692888
2017-06-01,197399.8488692888
2017-06-02,197399.8488692888
2017-06-05,197399.8488692888
2017-06-06,197399.8488692888
2017-06-07,197399.8488692888
2017-06-08,197399.8488692888
2017-06-09,197399.8488692888
2017-06-12,197399.8488692888
2017-06-13,197399.8488692888
2017-06-14,197399.8488692888
2017-06-15,195425.85038059592
2017-06-16,193471.59187678996
2017-06-19,191536.87595802205
2017-06-20,191536.87595802205
2017-06-21,191536.87595802205
2017-06-22,191536.87595802205
2017-06-23,191536.87595802205
2017-06-26,191536.87595802205
2017-06-27,191536.87595802205
2017-06-28,191536.87595802205
2017-06-29,191536.87595802205
2017-06-30,191536.87595802205
2017-07-03,191536.87595802205
2017-07-05,191536.87595802205
2017-07-06,191536.87595802205
2017-07-07,191536.87595802205
2017-07-10,191536.87595802205
2017-07-11,191536.87595802205
2017-07-12,191536.87595802205
2017-07-13,191536.87595802205
2017-07-14,191536.87595802205
2017-07-17,191536.87595802205
2017-07-18,191536.87595802205
2017-07-19,191536.87595802205
2017-07-20,191536.87595802205
2017-07-21,191536.87595802205
2017-07-24,191536.87595802205
2017-07-25,191536.87595802205
2017-07-26,191536.87595802205
2017-07-27,191536.87595802205
2017-07-28,191536.87595802205
2017-07-31,191536.87595802205
2017-08-01,191536.87595802205
2017-08-02,191536.87595802205
2017-08-03,191536.87595802205
2017-08-04,191536.87595802205
2017-08-07,191536.87595802205
2017-08-08,191536.87595802205
2017-08-09,191536.87595802205
2017-08-10,191536.87595802205
2017-08-11,191536.87595802205
2017-08-14,191536.87595802205
2017-08-15,191536.87595802205
2017-08-16,191536.87595802205
2017-08-17,191536.87595802205
2017-08-18,191536.87595802205
2017-08-21,191536.87595802205
2017-08-22,191536.87595802205
2017-08-23,191536.87595802205
2017-08-24,191536.87595802205
2017-08-25,191536.87595802205
2017-08-28,191536.87595802205
2017-08-29,191536.87595802205
2017-08-30,191536.87595802205
2017-08-31,191536.87595802205
2017-09-01,191536.87595802205
2017-09-05,191536.87595802205
2017-09-06,191536.87595802205
2017-09-07,191536.87595802205
2017-09-08,191536.87595802205
2017-09-11,191536.87595802205
2017-09-12,191536.87595802205
2017-09-13,191536.87595802205
2017-09-14,191536.87595802205
2017-09-15,191536.87595802205
2017-09-18,191536.87595802205
2017-09-19,191536.87595802205
2017-09-20,191536.87595802205
2017-09-21,191536.87595802205
2017-09-22,191536.87595802205
2017-09-25,191536.87595802205
2017-09-26,191536.87595802205
2017-09-27,191536.87595802205
2017-09-28,191536.87595802205
2017-09-29,191536.87595802205
2017-10-02,191536.87595802205
2017-10-03,191536.87595802205
2017-10-04,191536.87595802205
2017-10-05,191536.87595802205
2017-10-06,191536.87595802205
2017-10-09,191536.87595802205
2017-10-10,191536.87595802205
2017-10-11,191536.87595802205
2017-10-12,191536.87595802205
2017-10-13,191536.87595802205
2017-10-16,191536.87595802205
2017-10-17,191536.87595802205
2017-10-18,191536.87595802205
2017-10-19,191536.87595802205
2017-10-20,191536.87595802205
2017-10-23,191536.87595802205
2017-10-24,191536.87595802205
2017-10-25,191536.87595802205
2017-10-26,191536.87595802205
2017-10-27,191536.87595802205
2017-10-30,191536.87595802205
2017-10-31,191536.87595802205
2017-11-01,191536.87595802205
2017-11-02,191536.87595802205
2017-11-03,191536.87595802205
2017-11-06,191536.87595802205
2017-11-07,191536.87595802205
2017-11-08,191536.87595802205
2017-11-09,191536.87595802205
2017-11-10,191536.87595802205
2017-11-13,191536.87595802205
2017-11-14,191536.87595802205
2017-11-15,191536.87595802205
2017-11-16,191536.87595802205
2017-11-17,191536.87595802205
2017-11-20,191536.87595802205
2017-11-21,191536.87595802205
2017-11-22,191536.87595802205
2017-11-24,191536.87595802205
2017-11-27,191536.87595802205
2017-11-28,191536.87595802205
2017-11-29,191536.87595802205
2017-11-30,191536.87595802205
2017-12-01,191536.87595802205
2017-12-04,191536.87595802205
2017-12-05,191536.87595802205
2017-12-06,191536.87595802205
2017-12-07,191536.87595802205
2017-12-08,191536.87595802205
2017-12-11,191536.87595802205
2017-12-12,191536.87595802205
2017-12-13,191536.87595802205
2017-12-14,191536.87595802205
2017-12-15,191536.87595802205
2017-12-18,195367.6134771825
2017-12-19,195367.6134771825
2017-12-20,195367.6134771825
2017-12-21,195367.6134771825
2017-12-22,195367.6134771825
2017-12-26,193413.93734241065
2017-12-27,191479.79796898653
2017-12-28,189564.99998929666
2017-12-29,187669.34998940368
2018-01-02,185792.65648950962
2018-01-03,183934.72992461454
2018-01-04,182095.3826253684
2018-01-05,180274.4287991147
2018-01-08,178471.68451112357
2018-01-09,176686.96766601235
2018-01-10,174920.09798935222
2018-01-11,173170.89700945868
2018-01-12,171439.1880393641
2018-01-16,169724.79615897045
