Entry Date,Exit Date,Direction,Size,Entry Price,Exit Price,PnL ($),Return (%),Exit Reason
2022-05-11,2022-05-13,long,1.0,392.75,401.72,2283.8956078930687,2.2838956078930686,open
2022-05-13,2022-05-18,short,1.0,401.72,391.86,2454.4458827043745,2.4544458827043742,open
2022-05-18,2022-05-19,long,1.0,391.86,389.46,-612.4636349716823,-0.6124636349716822,open
2022-05-19,2022-05-20,short,1.0,389.46,389.63,-43.65018230370665,-0.04365018230370665,open
2022-05-20,2022-05-23,long,1.0,389.63,396.92,1871.0058260400945,1.8710058260400946,open
2022-05-23,2022-05-24,short,1.0,396.92,393.89,763.3780106822608,0.7633780106822607,open
2022-05-24,2022-05-25,long,0.4143546,393.89,397.37,366.0803880842387,0.36608038808423865,open
2022-05-25,2022-06-06,short,1.0,397.37,411.79,-3628.8597528751584,-3.6288597528751585,open
2022-06-06,2022-06-10,long,1.0,411.79,389.8,-5340.10053668132,-5.34010053668132,open
2022-06-10,2022-06-13,short,1.0,389.8,375.0,3796.8188814776836,3.7968188814776838,open
2022-06-13,2022-06-21,long,1.0,375.0,375.07,18.66666666666485,0.01866666666666485,open
2022-06-21,2022-06-30,short,1.0,375.07,377.25,-581.2248380302361,-0.5812248380302362,open
2022-06-30,2022-07-01,short,0.5881095,377.25,381.24,-622.0164012798225,-0.6220164012798225,open
2022-07-01,2022-07-05,long,0.292949,381.24,381.96,55.3255872285152,0.0553255872285152,open
2022-07-05,2022-07-13,short,1.0,381.96,378.83,819.4575348203989,0.819457534820399,open
2022-07-13,2022-07-14,long,1.0,378.83,377.91,-242.85299474697334,-0.24285299474697333,open
2022-07-14,2022-07-15,short,1.0,377.91,385.13,-1910.507792860726,-1.9105077928607261,open
2022-07-15,2022-07-18,short,0.43417433,385.13,381.95,358.49567374165946,0.35849567374165947,open
2022-07-18,2022-08-09,short,1.0,381.95,411.35,-7697.342584107876,-7.697342584107876,open
2022-08-09,2022-08-10,short,0.6293159,411.35,419.99,-1321.815816822655,-1.321815816822655,open
2022-08-10,2022-08-11,long,1.0,419.99,419.99,0.0,0.0,open
2022-08-11,2022-08-18,short,1.0,419.99,427.89,-1880.9971665991993,-1.8809971665991991,open
2022-08-18,2022-08-19,long,0.43090662,427.89,422.14,-579.0537716688285,-0.5790537716688285,open
2022-08-19,2022-08-22,long,0.21585816,422.14,413.35,-449.4701431064024,-0.44947014310640243,open
2022-08-22,2022-08-23,short,0.78076124,413.35,412.35,188.8862344260312,0.1888862344260312,open
2022-08-23,2022-09-02,long,1.0,412.35,392.24,-4876.924942403301,-4.876924942403302,open
2022-09-02,2022-09-06,short,0.6273384,392.24,390.76,236.70732961643674,0.23670732961643673,open
2022-09-06,2022-09-07,long,1.0,390.76,397.78,1796.4991299007017,1.7964991299007016,open
2022-09-07,2022-09-14,short,1.0,397.78,394.6,799.436874654319,0.799436874654319,open
2022-09-14,2022-09-28,long,1.0,394.6,370.53,-6099.8479472884055,-6.0998479472884055,open
2022-09-28,2022-09-30,short,1.0,370.53,357.18,3602.9471297870527,3.6029471297870526,open
2022-09-30,2022-10-03,long,1.0,357.18,366.61,2640.1254269555984,2.6401254269555983,open
2022-10-03,2022-10-10,short,1.0,366.61,360.02,1797.5505305365461,1.7975505305365462,open
2022-10-10,2022-10-13,long,1.0,360.02,365.97,1652.685961891019,1.6526859618910188,open
2022-10-13,2022-10-14,short,1.0,365.97,357.63,2278.875317648996,2.278875317648996,open
2022-10-14,2022-10-17,short,0.80154777,357.63,366.82,-2059.733154071596,-2.059733154071596,open
2022-10-17,2022-11-03,short,1.0,366.82,371.01,-1142.2496047107568,-1.1422496047107569,open
2022-11-03,2022-11-11,long,1.0,371.01,398.51,7412.199132098865,7.412199132098865,open
2022-11-11,2022-11-22,short,1.0,398.51,399.9,-348.79927730796874,-0.3487992773079687,open
2022-11-22,2022-11-23,long,1.0,399.9,402.42,630.1575393848559,0.6301575393848559,open
2022-11-23,2022-11-28,short,1.0,402.42,395.91,1617.7128373341263,1.6177128373341263,open
2022-11-28,2022-12-09,long,1.0,395.91,393.28,-664.2923896845374,-0.6642923896845374,open
2022-12-09,2022-12-12,short,1.0,393.28,398.95,-1441.7209113100123,-1.4417209113100122,open
2022-12-12,2022-12-13,long,1.0,398.95,401.97,756.9870911141844,0.7569870911141845,open
2022-12-13,2022-12-15,short,1.0,401.97,389.63,3069.8808368783816,3.0698808368783816,open
2022-12-15,2022-12-19,long,1.0,389.63,380.02,-2466.442522393043,-2.466442522393043,open
2022-12-19,2022-12-22,short,1.0,380.02,380.72,-184.20083153519434,-0.18420083153519434,open
