Entry Date,Exit Date,Direction,Entry Price,Exit Price,PnL ($),Return (%),Exit Reason
2021-10-21,2021-10-25,long,453.59,455.55,291.4082691391718,0.2914082691391718,close
2021-10-27,2021-10-29,long,453.94,459.25,-789.600607924608,-0.7896006079246078,close
2021-11-01,2021-11-05,short,460.04,468.53,-1224.6750802805525,-1.2246750802805524,close
2021-11-08,2021-11-09,short,468.93,467.38,218.94101764609044,0.21894101764609047,close
2021-11-10,2021-11-12,long,463.62,467.27,-528.5795288079918,-0.5285795288079917,close
2021-11-15,2021-11-17,long,467.43,468.14,-101.49565723607233,-0.10149565723607233,close
2021-11-18,2021-11-19,short,469.73,468.89,118.9665101247611,0.11896651012476112,close
2021-11-22,2021-11-24,short,467.57,469.44,-265.83620879222616,-0.26583620879222614,close
2021-11-26,2021-12-16,long,458.97,466.45,1063.5782477956946,1.0635782477956945,close
2021-12-17,2021-12-22,long,459.87,467.69,-1122.4077753533797,-1.1224077753533797,close
2021-12-30,2021-12-31,long,476.16,474.96,-165.14379992852403,-0.16514379992852402,close
2022-01-03,2022-01-04,short,477.71,477.55,22.052736107150466,0.022052736107150465,close
2022-01-06,2022-01-18,short,467.94,456.49,1617.9095910340816,1.6179095910340817,close
2022-01-21,2022-02-18,long,437.98,434.23,619.442325810494,0.6194423258104941,close
2022-02-22,2022-03-07,long,429.57,419.43,-1738.6653026443005,-1.7386653026443006,close
2022-03-08,2022-03-11,long,416.25,420.07,-674.9454436307113,-0.6749454436307113,close
2022-03-16,2022-03-18,short,435.62,444.52,-1500.2353809168105,-1.5002353809168105,close
2022-03-21,2022-03-30,long,444.39,458.7,-2253.3351649607166,-2.2533351649607165,close
2022-04-04,2022-05-18,long,456.8,391.86,10737.783417432376,10.737783417432375,close
2022-05-19,2022-06-02,short,389.46,417.39,5264.129189974667,5.264129189974667,close
2022-06-06,2022-06-09,long,411.79,401.44,-1750.4950378191359,-1.7504950378191357,close
2022-06-10,2022-06-13,long,389.8,375.0,-2565.092308539229,-2.565092308539229,close
2022-06-14,2022-06-15,short,373.87,379.2,-959.2783788643172,-0.9592783788643172,close
2022-06-17,2022-06-24,long,365.86,390.08,4781.287983277064,4.781287983277064,close
2022-06-28,2022-07-21,long,380.65,398.79,-3273.1760793193084,-3.2731760793193088,close
2022-07-22,2022-07-29,short,395.09,411.99,-2986.327938740388,-2.9863279387403883,close
2022-08-02,2022-08-03,long,408.06,414.45,1095.4016948691446,1.0954016948691447,close
2022-08-09,2022-08-11,short,411.35,419.99,-1466.8000206496931,-1.4668000206496932,close
2022-08-17,2022-08-23,long,426.65,412.35,-2304.820313454609,-2.304820313454609,close
2022-08-24,2022-10-05,short,413.67,377.09,-7268.896129786815,-7.268896129786816,close
2022-10-06,2022-10-13,long,373.2,365.97,-1588.2828453818233,-1.5882828453818234,close
2022-10-14,2022-10-17,long,357.63,366.82,2056.680380963875,2.056680380963875,close
2022-10-18,2022-10-19,short,371.13,368.5,573.2625556314,0.5732625556313999,close
2022-10-21,2022-11-08,short,374.29,382.0,-1706.6163892093482,-1.7066163892093482,close
2022-11-09,2022-11-14,short,374.13,395.12,-4733.220238488994,-4.733220238488994,close
2022-11-21,2022-11-22,short,394.59,399.9,-1124.5035823850906,-1.1245035823850906,close
2022-11-23,2022-11-25,short,402.42,402.33,18.55220557384357,0.01855220557384357,close
2022-12-01,2022-12-02,long,407.38,406.91,-97.13409422215021,-0.0971340942221502,close
2022-12-08,2023-01-17,short,396.24,397.77,-317.57442475151106,-0.3175744247515111,close
2023-01-19,2023-01-20,short,388.64,395.88,-1554.791492736388,-1.554791492736388,close
2023-01-24,2023-02-01,short,400.2,410.8,2168.569758379151,2.1685697583791512,close
2023-02-06,2023-02-07,long,409.83,415.19,1085.2947247093743,1.0852947247093743,close
2023-02-08,2023-02-14,long,410.65,412.64,-402.3507504273048,-0.4023507504273048,close
2023-02-15,2023-02-16,short,413.98,408.28,1138.3401225955554,1.1383401225955554,close
2023-02-17,2023-02-21,short,407.26,399.09,1661.0246713265954,1.6610246713265953,close
2023-02-22,2023-03-01,long,398.54,394.74,777.3235105703693,0.7773235105703693,close
2023-03-02,2023-03-09,short,397.81,391.56,1263.9404682246493,1.2639404682246493,close
2023-03-13,2023-04-14,short,385.36,412.46,-5752.24443145311,-5.75224443145311,close
2023-04-17,2023-04-18,short,413.94,414.21,-53.108677992753066,-0.05310867799275306,close
2023-04-19,2023-04-20,short,414.14,411.88,443.9554246399599,0.44395542463995996,close
2023-04-24,2023-04-28,long,412.63,415.93,665.2240531088747,0.6652240531088747,close
2023-05-01,2023-05-09,short,415.51,410.93,-926.9329592535761,-0.9269329592535761,close
2023-05-11,2023-05-18,long,412.13,419.23,-1467.9101857103549,-1.467910185710355,close
2023-05-22,2023-05-23,short,418.79,414.09,956.6960405963746,0.9566960405963746,close
2023-05-24,2023-06-02,long,411.09,427.92,3624.1083386411033,3.6241083386411037,close
2023-06-08,2023-06-09,short,429.13,429.9,-158.37564638460867,-0.15837564638460866,close
2023-06-12,2023-06-13,short,433.8,436.66,-576.0640696676015,-0.5760640696676016,close
2023-06-21,2023-07-12,short,434.94,446.02,-2357.1321786153508,-2.3571321786153505,close
2023-07-13,2023-07-14,short,449.56,449.28,57.114818925788626,0.057114818925788624,close
2023-07-17,2023-07-20,short,450.84,452.18,-272.53403941925114,-0.27253403941925114,close
2023-07-21,2023-07-27,short,452.18,452.49,-63.033314429078935,-0.06303331442907893,close
2023-07-28,2023-08-09,short,456.92,445.75,2277.4389843884082,2.277438984388408,close
2023-08-10,2023-08-14,long,445.91,448.11,-461.07875121743484,-0.46107875121743486,close
2023-08-17,2023-08-18,long,436.29,436.5,45.46101174116048,0.04546101174116048,close
2023-08-21,2023-08-22,short,439.34,438.15,257.23103853903757,0.25723103853903756,close
2023-08-25,2023-08-28,long,439.97,442.76,594.9215410619194,0.5949215410619194,close
2023-08-29,2023-08-30,long,449.16,451.01,391.6043451624165,0.39160434516241655,close
2023-09-06,2023-09-11,long,446.22,448.45,-477.3403994873551,-0.4773403994873551,close
2023-09-12,2023-09-14,long,445.99,450.36,-947.2491437749163,-0.9472491437749163,close
2023-09-15,2023-09-20,long,443.37,438.64,1052.6779282529153,1.0526779282529153,close
2023-09-21,2023-10-09,long,431.39,432.29,-209.75216248151912,-0.20975216248151912,close
2023-10-11,2023-10-12,short,436.32,433.66,609.129717596597,0.609129717596597,close
2023-10-13,2023-10-16,long,431.5,436.04,1055.4355358310445,1.0554355358310445,close
2023-10-17,2023-10-23,long,436.02,420.46,-3495.0203045098474,-3.4950203045098474,close
2023-10-24,2023-10-25,short,423.63,417.55,1414.786839410136,1.414786839410136,close
2023-10-30,2023-11-06,long,415.59,435.69,4988.462128232709,4.988462128232709,close
2023-11-07,2023-11-08,long,436.93,437.25,75.67870538962309,0.07567870538962308,close
2023-11-10,2023-11-14,short,440.61,448.73,1849.0969899418717,1.8490969899418717,close
2023-11-15,2023-11-16,short,449.68,450.23,-122.857364003413,-0.122857364003413,close
2023-11-17,2023-11-21,long,450.79,453.27,-549.620005568155,-0.5496200055681549,close
2023-11-24,2023-12-05,short,455.3,456.6,-282.5275160178311,-0.2825275160178311,close
2023-12-06,2023-12-18,long,454.76,471.97,-3865.165435088326,-3.865165435088326,close
2023-12-19,2023-12-20,short,474.84,468.26,1405.2859605357248,1.4052859605357249,close
2023-12-22,2023-12-29,long,473.65,475.31,351.6181755663025,0.3516181755663025,end
